flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00232_20240605142516,14:25:16,2024-06-05,PFA-00245,PSA-00257,PSF-00232,0.000000,0.000000,0.000000,1.645803,1.606107,0.024120,25.375700

TIME,FLR,PAR,PHASE
s,,umol+1m-2s-1,
0.000000,1.645803,6978.810547,1
0.010000,1.617193,6978.810547,1
0.020000,1.618624,6978.810547,1
0.030000,1.628995,6978.810547,1
0.040000,1.622558,6978.810547,1
0.050000,1.621127,6978.810547,1
0.060000,1.618981,6978.810547,1
0.070000,1.632929,6978.810547,1
0.080000,1.612186,6978.810547,1
0.090000,1.623988,6978.810547,1
0.100000,1.638293,6978.810547,1
0.110000,1.620412,6978.810547,1
0.120000,1.621485,6978.810547,1
0.130000,1.624346,6978.810547,1
0.140000,1.623273,6978.810547,1
0.150000,1.616120,6978.810547,1
0.160000,1.623631,6978.810547,1
0.170000,1.620770,6978.810547,1
0.180000,1.632571,6978.810547,1
0.190000,1.623273,6978.810547,1
0.200000,1.617193,6978.810547,1
0.210000,1.617908,6978.810547,1
0.220000,1.623988,6978.810547,1
0.230000,1.624346,6978.810547,1
0.240000,1.618981,6978.810547,1
0.250000,1.618624,6978.810547,1
0.260000,1.616478,6978.810547,1
0.270000,1.625419,6978.810547,1
0.280000,1.621485,6978.810547,1
0.290000,1.622200,6978.810547,1
0.300000,1.625776,6920.658203,2
0.310000,1.623273,6862.506348,2
0.320000,1.625776,6804.354004,2
0.330000,1.626134,6746.202148,2
0.340000,1.620054,6688.049805,2
0.350000,1.627564,6629.897949,2
0.360000,1.607537,6571.745605,2
0.370000,1.619697,6513.593750,2
0.380000,1.619697,6455.441406,2
0.390000,1.628637,6397.289551,2
0.400000,1.616120,6339.137207,2
0.410000,1.623273,6280.985352,2
0.420000,1.611471,6222.833008,2
0.430000,1.617193,6164.681152,2
0.440000,1.609683,6106.528809,2
0.450000,1.614332,6048.376953,2
0.460000,1.616836,5990.225098,2
0.470000,1.623988,5932.072754,2
0.480000,1.625419,5873.920898,2
0.490000,1.611114,5815.768555,2
0.500000,1.621485,5757.616699,2
0.510000,1.614690,5699.464355,2
0.520000,1.609325,5641.312500,2
0.530000,1.616120,5583.160156,2
0.540000,1.618981,5525.008301,2
0.550000,1.621127,5466.855957,2
0.560000,1.613259,5408.704102,2
0.570000,1.616120,5350.551758,2
0.580000,1.615763,5292.399902,2
0.590000,1.622200,5234.247559,2
0.600000,1.628280,6978.810547,3
0.610000,1.622200,6978.810547,3
0.620000,1.621127,6978.810547,3
0.630000,1.627207,6978.810547,3
0.640000,1.620054,6978.810547,3
0.650000,1.621842,6978.810547,3
0.660000,1.617908,6978.810547,3
0.670000,1.624703,6978.810547,3
0.680000,1.627922,6978.810547,3
0.690000,1.618266,6978.810547,3
0.700000,1.622558,6978.810547,3
0.710000,1.630425,6978.810547,3
0.720000,1.617908,6978.810547,3
0.730000,1.624346,6978.810547,3
0.740000,1.622200,6978.810547,3
0.750000,1.623631,6978.810547,3
0.760000,1.620054,6978.810547,3
0.770000,1.615763,6978.810547,3
0.780000,1.616836,6978.810547,3
0.790000,1.617908,6978.810547,3
0.800000,1.617908,6978.810547,3
0.810000,1.629710,6978.810547,3
0.820000,1.626849,6978.810547,3
0.830000,1.622558,6978.810547,3
0.839999,1.622915,6978.810547,3
0.849999,1.619339,6978.810547,3
0.859999,1.617551,6978.810547,3
0.869999,1.616120,6978.810547,3
0.879999,1.620412,6978.810547,3
0.889999,1.615763,6978.810547,3
